avg_age,avg_market_value,foreigners,players,season,team,total_market_value
27.3,€4.08m,15,34,19/20,Sheffield United,€138.60m
26.7,€10.22m,15,26,21/22,Southampton FC,€265.75m
26.5,€5.03m,17,33,17/18,West Bromwich Albion,€165.95m
27.3,€3.68m,21,35,16/17,Middlesbrough FC,€128.80m
27.3,€4.11m,18,30,16/17,West Bromwich Albion,€123.20m
25.8,€4.74m,29,41,18/19,Brighton & Hove Albion,€194.35m
25.3,€4.17m,21,33,18/19,Huddersfield Town,€137.45m
27.6,€10.00m,14,26,21/22,Crystal Palace,€259.95m
25.3,€10.63m,17,24,21/22,Brighton & Hove Albion,€255.00m
26.3,€4.60m,25,36,17/18,Swansea City,€165.49m
26.6,€2.98m,15,36,16/17,Burnley FC,€107.18m
27.3,€3.23m,20,35,18/19,Cardiff City,€113.00m
25.9,€9.24m,22,25,21/22,Brentford FC,€230.90m
26.7,€3.80m,27,39,17/18,Brighton & Hove Albion,€148.20m
25.7,€5.64m,19,26,21/22,Norwich City,€146.55m
26.0,€4.13m,13,35,17/18,AFC Bournemouth,€144.50m
27.8,€4.76m,26,30,21/22,Watford FC,€142.80m
30.0,€5.92m,10,24,21/22,Burnley FC,€142.00m
25.6,€3.03m,19,35,17/18,Huddersfield Town,€106.05m
