avg_age,avg_market_value,foreigners,players,season,team,total_market_value
"26,9","4,25 mln €",28,37,16/17,Swansea City,"157,10 mln €"
"25,1","2,04 mln €",22,49,15/16,AFC Bournemouth,"99,90 mln €"
"24,5","7,25 mln €",19,39,20/21,FC Southampton,"282,80 mln €"
"25,7","7,70 mln €",26,33,18/19,FC Fulham,"254,25 mln €"
"27,6","10,00 mln €",14,26,21/22,Crystal Palace,"259,95 mln €"
"25,8","5,38 mln €",23,41,17/18,Crystal Palace,"220,73 mln €"
"25,4","5,63 mln €",24,37,17/18,Newcastle United,"208,28 mln €"
"25,7","4,64 mln €",27,43,19/20,FC Watford,"199,60 mln €"
"26,0","3,23 mln €",23,42,16/17,Hull City,"135,85 mln €"
"25,3","3,14 mln €",27,42,16/17,AFC Sunderland,"132,00 mln €"
"26,9","7,74 mln €",18,33,20/21,Newcastle United,"255,35 mln €"
"26,0","6,61 mln €",22,37,18/19,Newcastle United,"244,65 mln €"
"26,2","6,13 mln €",32,39,18/19,FC Watford,"239,10 mln €"
"25,3","10,63 mln €",16,24,21/22,Brighton & Hove Albion,"255,00 mln €"
"26,8","5,30 mln €",28,37,17/18,FC Watford,"196,00 mln €"
"26,2","5,50 mln €",27,35,17/18,Stoke City,"192,45 mln €"
"26,8","5,74 mln €",18,33,19/20,Crystal Palace,"189,33 mln €"
"24,4","3,21 mln €",16,41,16/17,AFC Bournemouth,"131,60 mln €"
"26,4","6,31 mln €",30,38,20/21,FC Fulham,"239,75 mln €"
"28,1","5,98 mln €",14,33,18/19,FC Burnley,"197,25 mln €"
"25,9","9,24 mln €",22,25,21/22,FC Brentford,"230,90 mln €"
"25,7","5,64 mln €",19,26,21/22,Norwich City,"146,55 mln €"
"27,8","5,64 mln €",16,30,17/18,FC Burnley,"169,30 mln €"
"26,3","4,68 mln €",12,35,19/20,FC Burnley,"163,88 mln €"
"25,5","3,82 mln €",25,38,19/20,Norwich City,"145,33 mln €"
"27,3","3,68 mln €",21,35,16/17,FC Middlesbrough,"128,80 mln €"
"24,5","6,11 mln €",23,39,20/21,Leeds United,"238,10 mln €"
"25,8","4,74 mln €",29,41,18/19,Brighton & Hove Albion,"194,35 mln €"
"27,8","4,76 mln €",26,30,21/22,FC Watford,"142,80 mln €"
"26,5","5,03 mln €",17,33,17/18,West Bromwich Albion,"165,95 mln €"
"27,3","4,08 mln €",15,34,19/20,Sheffield United,"138,60 mln €"
"27,3","4,11 mln €",18,30,16/17,West Bromwich Albion,"123,20 mln €"
"27,7","5,38 mln €",18,36,20/21,Crystal Palace,"193,85 mln €"
"25,3","4,17 mln €",21,33,18/19,Huddersfield Town,"137,45 mln €"
"27,3","3,23 mln €",20,35,18/19,Cardiff City,"113,00 mln €"
"30,0","5,92 mln €",10,24,21/22,FC Burnley,"142,00 mln €"
"26,3","4,60 mln €",25,36,17/18,Swansea City,"165,49 mln €"
"26,6","2,98 mln €",15,36,16/17,FC Burnley,"107,18 mln €"
"24,9","3,75 mln €",14,40,20/21,Sheffield United,"149,85 mln €"
"26,1","3,28 mln €",18,43,20/21,West Bromwich Albion,"141,15 mln €"
"26,7","3,80 mln €",27,39,17/18,Brighton & Hove Albion,"148,20 mln €"
"26,6","4,13 mln €",11,32,20/21,FC Burnley,"132,30 mln €"
"26,0","4,13 mln €",13,35,17/18,AFC Bournemouth,"144,50 mln €"
"25,6","3,03 mln €",19,35,17/18,Huddersfield Town,"106,05 mln €"
